datetime,temp_c,temp_f,precip_mm,windspeed_kph,weathercode,weather_risk,traffic_stress,hour,weekday,month,is_weekend,is_f1_weekend,is_holiday,is_major_event
2023-01-01T00:00,12.9,55.22,0.0,27.4,3,0.0,0.3904,0,6,1,1,0,1,0
2023-01-01T01:00,12.6,54.68,0.6,22.9,53,0.06,0.5104,1,6,1,1,0,1,0
2023-01-01T02:00,12.1,53.78,4.4,15.7,63,0.5,0.5404,2,6,1,1,0,1,0
2023-01-01T03:00,12.2,53.96,0.9,17.3,53,0.09,0.4428,3,6,1,1,0,1,0
2023-01-01T04:00,12.1,53.78,1.6,14.5,61,0.26,0.2642,4,6,1,1,0,1,0
2023-01-01T05:00,11.4,52.52,0.5,14.1,53,0.05,0.2142,5,6,1,1,0,1,0
2023-01-01T06:00,11.4,52.52,0.9,12.1,53,0.09,0.5782,6,6,1,1,0,1,0
2023-01-01T07:00,10.9,51.62,0.6,13.0,53,0.06,0.9003,7,6,1,1,0,1,0
2023-01-01T08:00,10.1,50.18,0.2,13.2,51,0.02,0.8774,8,6,1,1,0,1,0
2023-01-01T09:00,11.2,52.16,0.0,16.6,3,0.0,0.7803,9,6,1,1,0,1,0
2023-01-01T10:00,12.1,53.78,0.0,21.6,2,0.0,0.571,10,6,1,1,0,1,0
2023-01-01T11:00,12.4,54.32,0.0,23.4,2,0.0,0.571,11,6,1,1,0,1,0
2023-01-01T12:00,13.0,55.4,0.0,22.3,2,0.0,0.571,12,6,1,1,0,1,0
2023-01-01T13:00,13.4,56.12,0.0,29.4,1,0.0,0.571,13,6,1,1,0,1,0
2023-01-01T14:00,13.4,56.12,0.0,23.6,2,0.0,0.571,14,6,1,1,0,1,0
2023-01-01T15:00,12.8,55.04,0.0,11.3,3,0.0,0.4282,15,6,1,1,0,1,0
2023-01-01T16:00,11.8,53.24,0.2,6.7,51,0.02,0.8489,16,6,1,1,0,1,0
2023-01-01T17:00,11.9,53.42,0.0,14.4,3,0.0,0.8748,17,6,1,1,0,1,0
2023-01-01T18:00,10.9,51.62,0.2,15.1,51,0.02,0.9148,18,6,1,1,0,1,0
2023-01-01T19:00,9.9,49.82,0.0,11.5,3,0.0,0.8089,19,6,1,1,0,1,0
2023-01-01T20:00,9.0,48.2,0.0,8.7,3,0.0,0.6954,20,6,1,1,0,1,0
2023-01-01T21:00,8.2,46.76,0.0,8.6,2,0.0,0.6954,21,6,1,1,0,1,0
2023-01-01T22:00,7.3,45.14,0.0,7.5,2,0.0,0.488,22,6,1,1,0,1,0
2023-01-01T23:00,7.0,44.6,0.0,10.0,3,0.0,0.488,23,6,1,1,0,1,0
2023-01-02T00:00,6.5,43.7,0.0,10.5,3,0.0,0.2,0,0,1,0,0,0,0
2023-01-02T01:00,6.3,43.34,0.0,8.7,3,0.0,0.2,1,0,1,0,0,0,0
2023-01-02T02:00,4.6,40.28,0.0,5.7,1,0.0,0.2,2,0,1,0,0,0,0
2023-01-02T03:00,4.2,39.56,0.0,5.8,1,0.0,0.12,3,0,1,0,0,0,0
2023-01-02T04:00,4.2,39.56,0.0,11.1,1,0.0,0.12,4,0,1,0,0,0,0
2023-01-02T05:00,3.5,38.3,0.0,14.0,0,0.0,0.12,5,0,1,0,0,0,0
2023-01-02T06:00,2.8,37.04,0.0,13.8,0,0.0,0.45,6,0,1,0,0,0,0
2023-01-02T07:00,2.8,37.04,0.0,15.5,0,0.0,0.82,7,0,1,0,0,0,0
